nodes,edges,instance,ants,n_nodes,value,time
10,10,4,4,4,184,0.848685
10,10,5,4,4,308,0.887524
10,10,6,4,4,268,1.28339
10,10,7,4,4,220,1.00677
10,10,8,4,5,372,1.22709
10,10,9,4,5,234,1.09347
10,10,10,4,4,215,0.761429
10,20,1,4,5,271,1.38544
10,20,2,4,7,257,1.66241
10,20,3,4,6,334,3.70629
10,20,4,4,6,311,1.78644
10,20,5,4,6,262,1.16298
10,20,6,4,6,323,1.73211
10,20,7,4,6,403,1.79101
10,20,8,4,6,458,1.66904
10,20,9,4,6,400,1.55099
10,20,10,4,5,394,1.80093
10,30,1,4,8,469,1.52362
10,30,2,4,7,563,4.05344
10,30,3,4,7,537,1.80161
10,30,4,4,8,325,1.85218
10,30,5,4,7,391,1.84143
10,30,6,4,7,386,1.91569
10,30,7,4,8,436,1.97562
10,30,8,4,7,447,1.88497
10,30,9,4,7,418,1.78662
10,30,10,4,7,445,1.73481
10,40,1,4,8,526,2.10688
10,40,2,4,8,496,1.62824
10,40,3,4,8,548,2.07503
10,40,4,4,8,426,2.25301
10,40,5,4,8,449,2.27952
10,40,6,4,8,475,2.32642
10,40,7,4,8,309,2.54306
10,40,8,4,8,579,2.22828
10,40,9,4,8,467,2.25999
10,40,10,4,8,524,2.84753
15,20,1,4,6,464,1.90458
15,20,2,4,8,327,3.15153
15,20,3,4,8,476,2.9133
15,20,4,4,8,480,1.76679
15,20,5,4,7,333,2.61316
15,20,6,4,7,453,2.40604
15,20,7,4,7,406,2.51758
15,20,8,4,8,472,2.51196
15,20,9,4,9,435,2.52394
15,20,10,4,8,587,2.5007
15,40,1,4,9,550,2.97193
15,40,2,4,10,549,3.15414
15,40,3,4,10,627,3.15303
15,40,4,4,10,519,3.21676
15,40,5,4,10,595,3.58111
15,40,6,4,10,625,3.47486
15,40,7,4,10,606,3.4471
15,40,8,4,9,588,3.0789
15,40,9,4,11,660,3.9534
15,40,10,4,10,681,3.79876
15,60,1,4,11,755,4.24975
15,60,2,4,12,671,4.21439
15,60,3,4,12,731,4.5669
15,60,4,4,10,606,5.99139
15,60,5,4,11,737,4.24262
15,60,6,4,11,750,3.71829
15,60,7,4,11,743,4.00429
15,60,8,4,11,768,4.02972
15,60,9,4,12,825,4.32842
15,60,10,4,11,593,4.17681
15,80,1,4,12,661,5.42847
15,80,2,4,12,702,4.70654
15,80,3,4,12,884,5.03431
15,80,4,4,12,776,4.73754
15,80,5,4,13,859,4.91224
15,80,6,4,12,697,3.7513
15,80,7,4,12,862,4.38553
15,80,8,4,12,852,4.0125
15,80,9,4,12,777,4.67738
15,80,10,4,12,750,4.71059
15,100,1,4,13,837,5.11061
15,100,2,4,13,723,4.96698
15,100,3,4,13,805,4.79012
15,100,4,4,13,866,4.88263
15,100,5,4,13,835,5.38598
15,100,6,4,13,971,5.49162
15,100,7,4,14,865,5.64451
15,100,8,4,14,871,4.32673
15,100,9,4,14,877,6.53333
15,100,10,4,13,767,4.81796
20,20,1,4,9,430,3.28966
