nodes,edges,instance,beta,n_nodes,value,time
50,250,5,1.8,36,2211,55.7144
50,250,5,2,36,2211,56.3461
50,250,6,0.2,36,2358,133.04
50,250,6,0.4,36,2358,119.951
50,250,6,0.6,37,2392,125.388
50,250,6,0.8,37,2392,121.732
50,250,6,1,37,2392,141.008
50,250,6,1.2,36,2358,113.296
50,250,6,1.4,36,2358,114.622
50,250,6,1.6,36,2358,114.426
50,250,6,1.8,36,2358,51.1889
50,250,6,2,36,2358,50.6504
50,250,7,0.2,37,2745,137.966
50,250,7,0.4,37,2671,144.3
50,250,7,0.6,37,2671,142.189
50,250,7,0.8,38,2736,130.693
50,250,7,1,38,2730,119.734
50,250,7,1.2,37,2671,159.151
50,250,7,1.4,38,2717,118.467
50,250,7,1.6,38,2725,124.682
50,250,7,1.8,38,2725,65.8632
50,250,7,2,38,2725,57.2638
50,250,8,0.2,36,2383,120.425
50,250,8,0.4,36,2383,117.773
50,250,8,0.6,36,2383,117.792
50,250,8,0.8,36,2383,114.952
50,250,8,1,36,2383,125.037
50,250,8,1.2,36,2383,122.619
50,250,8,1.4,36,2383,115.694
50,250,8,1.6,36,2383,118.371
50,250,8,1.8,36,2383,52.6079
50,250,8,2,36,2383,52.0472
50,250,9,0.2,36,2365,150.608
50,250,9,0.4,39,2448,125.651
50,250,9,0.6,36,2365,159.843
50,250,9,0.8,36,2365,127.333
50,250,9,1,36,2365,153.539
50,250,9,1.2,36,2365,119.566
50,250,9,1.4,36,2364,173.672
50,250,9,1.6,36,2365,128.84
50,250,9,1.8,36,2365,69.8801
50,250,9,2,37,2395,54.4637
50,250,10,0.2,39,2518,122.243
50,250,10,0.4,38,2424,237.274
50,250,10,0.6,39,2454,210.182
50,250,10,0.8,39,2518,125.595
50,250,10,1,39,2518,122.699
50,250,10,1.2,39,2454,156.496
50,250,10,1.4,38,2419,168.111
50,250,10,1.6,39,2454,135.773
50,250,10,1.8,39,2460,55.4641
50,250,10,2,39,2490,130.831
50,500,1,0.2,44,2643,160.284
50,500,1,0.4,43,2596,161.697
50,500,1,0.6,43,2596,157.451
50,500,1,0.8,44,2643,160.76
50,500,1,1,44,2643,160.108
50,500,1,1.2,44,2643,161.058
50,500,1,1.4,44,2643,160.167
