nodes,edges,instance,n_nodes,value,time,opt
100,250,5,57,3469,0.102847576141357,1
100,250,6,60,3794,0.964460849761963,1
100,250,7,58,3712,0.102513313293457,1
100,250,8,58,3848,1.14235281944275,1
100,250,9,59,3937,0.802478313446045,1
100,250,10,58,3502,0.084848165512085,1
100,500,1,70,4286,5.08886861801148,1
100,500,2,72,4400,4.80102634429932,1
100,500,3,73,4423,3.1723837852478,1
100,500,4,71,4584,4.13145160675049,1
100,500,5,71,4534,5.51429295539856,1
100,500,6,70,4865,6.20444250106812,1
100,500,7,68,4070,3.26789259910584,1
100,500,8,71,4353,4.39094924926758,1
100,500,9,73,4562,4.70813608169556,1
100,500,10,73,4633,4.29697442054749,1
100,750,1,77,5043,9.01772427558899,1
100,750,2,78,4905,9.69667482376099,1
100,750,3,76,5015,6.98463439941406,1
100,750,4,79,5365,19.9904296398163,1
100,750,5,78,5393,16.3547646999359,1
100,750,6,78,5361,19.4660227298737,1
100,750,7,76,5064,10.280588388443,1
100,750,8,78,4961,7.39241218566895,1
100,750,9,79,4857,16.1177818775177,1
100,750,10,78,5465,9.04669690132141,1
100,1000,1,81,5450,12.9033138751984,1
100,1000,2,82,5049,12.9887437820435,1
100,1000,3,81,5509,13.7169888019562,1
100,1000,4,81,5226,11.2486324310303,1
100,1000,5,82,4936,8.97929239273071,1
100,1000,6,83,5191,16.9360094070435,1
100,1000,7,82,5397,17.6710374355316,1
100,1000,8,82,5423,21.8914203643799,1
100,1000,9,81,5123,14.0668039321899,1
100,1000,10,82,5444,12.5028960704803,1
100,2000,1,89,6015,52.1306440830231,1
100,2000,2,90,5671,40.2819509506226,1
100,2000,3,90,6163,50.6212379932404,1
100,2000,4,89,5947,50.4931845664978,1
100,2000,5,90,5714,48.4093816280365,1
100,2000,6,89,6101,45.6560943126679,1
100,2000,7,89,6020,50.0504922866821,1
100,2000,8,88,5622,42.6668581962585,1
100,2000,9,90,6304,77.6989278793335,1
100,2000,10,89,6061,49.3592085838318,1
150,150,1,61,3852,0.0307056903839111,1
150,150,2,64,3634,0.030548095703125,1
150,150,3,58,4033,0.0324487686157227,1
150,150,4,61,3565,0.0295693874359131,1
150,150,5,60,3661,0.0302860736846924,1
150,150,6,66,3859,0.0290818214416504,1
150,150,7,58,3643,0.0299530029296875,1
150,150,8,65,3616,0.0234444141387939,1
150,150,9,64,3733,0.0625936985015869,1
150,150,10,62,3757,0.0320799350738525,1
150,250,1,77,4813,0.0392374992370606,1
150,250,2,74,4721,0.10320520401001,1
150,250,3,78,4715,0.127454996109009,1
150,250,4,73,4233,0.0423393249511719,1
150,250,5,75,4454,0.0407891273498535,1
150,250,6,77,5118,0.0432934761047363,1
150,250,7,73,4537,0.0405855178833008,1
150,250,8,78,4983,0.0387947559356689,1
150,250,9,77,4904,0.205628156661987,1
150,250,10,79,4440,0.080935001373291,1
150,500,1,98,5935,7.54835247993469,1
150,500,2,96,5977,6.08616209030151,1
150,500,3,98,5830,3.263836145401,1
150,500,4,95,5935,4.17831158638001,1
150,500,5,96,6188,5.21574139595032,1
150,500,6,98,6380,11.8352677822113,1
150,500,7,96,5916,5.30324196815491,1
